AccountId,New_financeprofileId,New_NumberofGrants,new_totalexpenditure_base,new_totalassets_base,new_annualturnover_base,New_Value,TransactionCurrencyIdName,new_totalexpenditure,new_totalassets,new_annualturnover,ExchangeRate,new_name,new_AverageExchangeRate
ddb3cb48-53b6-dd11-b898-00188b804fcd,e8cc6e27-1726-e511-b56b-00155d331923,,1069148.0000,41422738.0000,,2013,Euro,1069148.0000,41422738.0000,,1.0000000000,,
5232c1d6-33cc-e211-b8c9-00155d001608,2143ef7f-a8b9-e311-8702-00155d331818,41 (donations and scholarships),2350150.0000,,,2013,Euro,2350150.0000,,,1.0000000000,,
2ebec44e-53b6-dd11-b898-00188b804fcd,5e2d8793-5ac1-e311-8703-00155d331818,,39338111.0000,915000000.0000,,2013,Euro,39338111.0000,915000000.0000,,1.0000000000,,
b4d0db36-53b6-dd11-b898-00188b804fcd,4154078d-8130-e511-aa0f-00155d33171d,,48486760.0000,,,2013,Euro,48486760.0000,,,1.0000000000,,
4628e530-53b6-dd11-b898-00188b804fcd,ec410f9a-1631-e511-aa0f-00155d33171d,,156603200.0000,3102700900.0000,,2013,Euro,156603200.0000,3102700900.0000,,1.0000000000,,
4a1ce1c0-9f20-df11-aab6-00188b804fcd,892083bd-6e21-e511-b56b-00155d331923,,349081077.0000,480794548.0000,,2013,Euro,349081077.0000,480794548.0000,,1.0000000000,,
dbdbd43c-53b6-dd11-b898-00188b804fcd,b82c9f1e-e923-e511-b56b-00155d331923,,22051000.0000,692000000.0000,,2013,Euro,22051000.0000,692000000.0000,,1.0000000000,,
230db066-53b6-dd11-b898-00188b804fcd,0eddd534-ec23-e511-b56b-00155d331923,,16409000.0000,,,2014,Euro,16409000.0000,,,1.0000000000,,
1028e530-53b6-dd11-b898-00188b804fcd,9c7e2b83-7f24-e511-b56b-00155d331923,,434700000.0000,338623000.0000,,2014,Euro,434700000.0000,338623000.0000,,1.0000000000,,
1228e530-53b6-dd11-b898-00188b804fcd,e80f5eb7-a224-e511-b56b-00155d331923,,1005673350.0000,23674000000.0000,,2014,Euro,1005673350.0000,23674000000.0000,,1.0000000000,,
